title,link,pubDate
אוקראינה: המשא ומתן עם רוסיה יחל בשעות הקרובות,https://www.ynet.co.il/news/article/ry9yjncec,"Thu, 03 Mar 2022 14:10:29 +0200"
דקירת הגבר במחסום חיזמא - כנראה על רקע לאומני. מצוד אחר החשוד,https://www.ynet.co.il/news/article/hj8y67ag5,"Thu, 03 Mar 2022 14:02:08 +0200"
החשד לעבירות מין: נסגר התיק נגד גל אוחובסקי,https://www.ynet.co.il/news/article/rythvx0e9,"Thu, 03 Mar 2022 13:34:55 +0200"
איקאה תסגור את סניפיה ברוסיה,https://www.ynet.co.il/news/article/hkgoi7ceq,"Thu, 03 Mar 2022 13:33:32 +0200"
"פורמולה 1 מבטלת את החוזה עם רוסיה, לא תוכל לארח תחרויות במדינה",https://www.ynet.co.il/news/article/ryo2mqal9,"Thu, 03 Mar 2022 13:26:39 +0200"
"""אילצו לאכול שאריות מזון"": כתב אישום חמור נגד בני זוג שהתעללו ב-3 ילדיהם",https://www.ynet.co.il/news/article/h1cvzm0x5,"Thu, 03 Mar 2022 13:09:51 +0200"
משרד החוץ בעדכון לישראלים השוהים באוקראינה על היציאה מהמדינה,https://www.ynet.co.il/news/article/s1uz1mrxc,"Thu, 03 Mar 2022 13:06:09 +0200"
נעצר שוטר שחשוד בהעברת חומרים רגישים לארגון הפשע של דומרני בדרום,https://www.ynet.co.il/news/article/hymxomalc,"Thu, 03 Mar 2022 12:57:00 +0200"
"אוקראינה: ספינת משא זרה נפגעה מטיל בים השחור, איש צוות נהרג",https://www.ynet.co.il/news/article/sj1jaf0e5,"Thu, 03 Mar 2022 12:53:06 +0200"
אוקראינה: נמל בדרום המדינה מוקף בכוחות רוסים,https://www.ynet.co.il/news/article/hkazkmrxq,"Thu, 03 Mar 2022 12:39:58 +0200"
"שר בריטי: ""אברמוביץ' יתרום את ההכנסות ממכירת צ'לסי לאוקראינים? לא בטוח""",https://www.ynet.co.il/news/article/h1nrdzcxq,"Thu, 03 Mar 2022 12:29:30 +0200"
ראש העיר קייב: המצב קשה אך בשליטה,https://www.ynet.co.il/news/article/h1pqsfceq,"Thu, 03 Mar 2022 12:17:07 +0200"
"רון בן ישי: ""בקייב אסרו על מכירת אלכוהול, אנשי צבאי ירו תחת השפעה""",https://www.ynet.co.il/news/article/rygdwg0ec,"Thu, 03 Mar 2022 12:02:47 +0200"
"שר החוץ הרוסי השווה את ארה""ב להיטלר: ""מתכננים להשתלט על אירופה""",https://www.ynet.co.il/news/article/rjmgyg0eq,"Thu, 03 Mar 2022 11:51:47 +0200"
זלנסקי: מחזיקים מעמד מול המתקפות. אין לנו מה להפסיד מלבד החופש שלנו,https://www.ynet.co.il/news/article/bjo6lbagq,"Thu, 03 Mar 2022 11:18:53 +0200"
